name,isin,quote_fetch_code_yahoo,op_symbol,stock_exchange_symbol,dividend_info_resource
AES Corp,US00130H1059,AES,AES,AES,
Alpha Metallurgical Resources Inc,US0207641061,AMR,AMR,AMR,
Altria Group Inc,US02209S1033,MO,MO,MO,
AT&T Inc,US00206R1023,T,T,T,
Biontech SE ADR,US09075V1026,BNTX,BNTX US,BNTX,
Brightstar Lottery PLC,GB00BVG7F061,BRSL,BRSL,BRSL,
Bristol-Myers Squibb Co,US1101221083,BMY,BMY,BMY,
British American Tobacco,GB0002875804,BATS.L,BATS,BATS.L,
British American Tobacco ADR,US1104481072,BTI,BTI,BTI,
Chevron,US1667641005,CVX,CVX,CVX,
Constellation Brands Inc,,STZ,STZ.N,STZ.N,
CVS Health Corp,US1266501006,CVS,CVS,CVS,
Danaos,US23572J1051,DAC,DAC,DAC,
E.ON N,DE000ENAG999,EOAN.DE,EOAN,EOAN.DE,
Enbridge,CA29250N1050,ENB,ENB,ENB.TO,
Exxon Mobil Corp,US30231G1022,XOM,XOM,XOM,
Finnair Oyj,FI4000567029,FIA1S.HE,FIA1S,FIA1S.HE,
Fortum Oyj,FI0009007132,FORTUM.HE,FORTUM,FORTUM.HE,
General Mills Inc,US3703341046,GIS,GIS US,NYSE,
"Gilead Sciences, Inc",US3755581036,GILD,GILD,GILD,
GlaxoSmithKline,GB00BN7SWP63,GSK.L,GSK,GSK,
Imperial Brands,GB0004544929,IMB.L,IMB,IMB.L,
JD.com Inc A ADR,US47215P1066,JD,JD,JD,
Kraft Heinz Co,US5007541064,KHC,KHC,KHC,
Mandatum,FI4000552526,MANTA.HE,MANTA,MANTA.HE,
Merck & Co Inc,US58933Y1055,MRK,MRK,MRK,
Moderna Inc,US60770K1079,MRNA,MRNA,MRNA,
Noble Corp PLC,GB00BMXNWH07,NE,NE,NE,
Novo Nordisk B,DK0062498333,NOVO-B.CO,NOVO B,NOVO-B.CO,
Occidental Petroleum Corp,US6745991058,OXY,OXY US,OXY,
Palantir Technologies Inc A,US69608A1088,PLTR,PLTR,PLTR,
PDD Holdings Inc ADR,US7223041028,PDD,PDD US,PDD,
Pfizer Inc,US7170811035,PFE,PFE US,PFE,
Philip Morris International Inc,US7181721090,PM,PM,PM,
Saga Furs Oyj,,SAGCV.HE,SAGCV,SAGCV.HE,
Sampo Oyj A,FI4000552500,SAMPO.HE,SAMPO,SAMPO.HE,
Sirius XM Holdings Inc,US8299331004,SIRI,SIRI,SIRI,
Telus,CA87971M1032,T.TO,T CN,T.TO,
Tencent Holdings Ltd.,KYG875721634,TCEHY,TCEHY,TCEHY,
UnitedHealth Group Inc,US91324P1021,UNH,UNH US,NYSE,
US Bancorp,US9029733048,USB,USB,USB,
Verizon Communications Inc,US92343V1044,VZ,VZ US,VZ,
Vodafone Group,GB00BH4HKS39,VOD.L,VOD,VOD,
Vodafone Group PLC,XXX,VODI,VODI,VODI.DE,
Warrior Met Coal Inc,US93627C1018,HCC,HCC,HCC,
