Code,P/V,Description,Allowed values
000,P,Identifier,VSY08A26
045,P,Service provider's ID code,
048,P,Software that generated the file,
014,P,Identifier of the software that generated the file,
010,P,Business ID of limited company,
054,P,Accounting period,
198,P,Software-generated timestamp,
OTS,,Fixed assets (Business Tax Act (EVL)),
001,V,"Start of 140 to 151 partial data set, quantity of sets",
140,V,Complete name of limited company or cooperative / Fixed assets,
141,V,Business ID,
148,V,"Quantity, pcs / Fixed assets",
149,V,Undepreciated acquisition cost for income tax purposes / Fixed assets,
150,V,Comparison value of each / Fixed assets,
151,V,"Comparison value, totals / Fixed assets",
009,V,End of partial data set 140 to 151,
600,V,Quantity total pcs / Fixed assets,
556,V,"Total undepreciated acquisition cost for income-tax purposes, fixed assets",
562,V,"Fixed assets' comparison value at the end of the tax year, totals",
OTS,,Financial assets (Business Tax Act (EVL)),
001,V,"Start of 240 to 251 partial data set, quantity of sets",
240,V,Complete name of limited company or cooperative / Financial assets,
241,V,Business ID,
248,V,"Quantity, pcs / Financial assets",
249,V,Undepreciated acquisition cost for income tax purposes / Financial assets,
250,V,Comparison value of each / Financial assets,
251,V,"Comparison value, totals / Financial assets",
009,V,End of partial data set 240 to 251,
601,V,Quantity total pcs / Financial assets,
559,V,"Total undepreciated acquisition cost for income-tax purposes, financial assets",
565,V,Total comparison value of financial assets at the end of the tax year,
OTS,,Other assets (Business Tax Act (EVL)),
001,V,"Start of 440 to 451 partial data set, quantity of sets",
440,V,Complete name of limited company or cooperative / Other assets,
441,V,Business ID,
448,V,"Quantity, pcs / Other assets",
449,V,Undepreciated acquisition cost for purposes of income tax / Other assets,
450,V,Comparison value of each / Other assets,
451,V,"Comparison value, totals / Other assets",
009,V,End of partial data set 440 to 451,
603,V,"Total quantity, pcs / Other assets",
604,V,"Total undepreciated acquisition cost, for income tax purposes, of other assets",
605,V,Total comparison value of other assets at the end of the tax year,
OTS,,Other long-term investments (act on income taxation (TVL)),
001,V,"Start of 340 to 351 partial data set, quantity of sets",
340,V,Complete name of limited company or cooperative / act on income tax (TVL),
341,V,Business ID,
348,V,"Quantity, pcs / act on income tax (TVL)",
349,V,Undepreciated acquisition cost for income tax purposes / act on income tax (TVL),
350,V,Comparison value of each / act on income tax (TVL),
351,V,"Comparison value, totals / act on income tax (TVL)",
009,V,End of partial data set 340 to 351,
602,V,Quantity total pcs / act on income tax (TVL),
558,V,"Total undepreciated acquisition cost of other long-term investments, for income-tax purposes (act on income tax (TVL))",
564,V,"Other long-term investments' comparison value at the end of the tax year, totals (act on income tax (TVL))",
OTS,,Shares acquired in a related-party share exchange (on or after 1 January 2017),
001,V,"Start of 610 to 616 partial data set, quantity of sets",
610,V,Name of company or cooperative / Shares acquired in a related-party share exchange,
611,V,Business ID,
612,V,Share quantity,
616,V/P,Asset type of shares acquired in a related-party share exchange,"1, 2, 3, 4"
613,V,Total mathematical value before share exchange / Shares acquired in a related-party share exchange,
614,V,Comparison values per unit / Shares acquired in a related-party share exchange,
615,V,Total comparison values / Shares acquired in a related-party share exchange,
009,V,End of partial data set 610 to 616,
620,V,Share quantity / Shares acquired in a related-party share exchange in total,
621,V,Total mathematical value before share exchange / Shares acquired in a related-party share exchange in total,
622,V,Total comparison values / Shares acquired in a related-party share exchange in total,
489,V,"Total undepreciated acquisition cost of fixed assets, financial assets, other assets, and other long-term investments, for income-tax purposes",
490,V,"Comparison value, totals, of fixed assets, financial assets, other assets, and other long-term investments",
999,P,Final code,
